"","Date","610","657","653","608","656","mean"
"228",1980-08-15,0,0,0,NA,0,0
"229",1980-08-16,0,0,0,NA,0,0
"230",1980-08-17,0,0,0,NA,0,0
"231",1980-08-18,0,0,0,NA,0,0
"232",1980-08-19,NA,0,0,NA,0,0
"233",1980-08-20,0,0,0,NA,0,0
"234",1980-08-21,0,0,2.5,NA,0,0.625
"235",1980-08-22,0,3.5,13,NA,0,4.125
"236",1980-08-23,2.03,6.6,0.5,NA,5.5,3.6575
"237",1980-08-24,4.06,0,8,NA,0,3.015
"238",1980-08-25,0,9.5,6.5,NA,0.9,4.225
"239",1980-08-26,3.05,4.6,0,NA,0.4,2.0125
"240",1980-08-27,5.08,0,0,NA,0,1.27
"241",1980-08-28,0,0,0,NA,0,0
"242",1980-08-29,0,0,0,NA,0,0
"243",1980-08-30,0,0,0.7,NA,0,0.175
"244",1980-08-31,0,0.5,0,NA,0,0.125
"245",1980-09-01,1.02,0,1.5,NA,0,0.63
"246",1980-09-02,0,3.5,0,NA,0,0.875
"247",1980-09-03,4.06,0,0,NA,0,1.015
"248",1980-09-04,0,0,0.5,NA,0,0.125
"249",1980-09-05,0,1.6,7.5,NA,5,3.525
"250",1980-09-06,1.02,9.4,0,NA,0,2.605
"251",1980-09-07,7.87,0,0,NA,0,1.9675
"252",1980-09-08,0,0,0,NA,0,0
"253",1980-09-09,0,0,1.5,NA,0,0.375
"254",1980-09-10,0,1.6,0,NA,0,0.4
"255",1980-09-11,0,1.7,0.1,NA,0,0.45
"256",1980-09-12,1.02,0,0,NA,0,0.255
"257",1980-09-13,0,0,0,NA,0,0
"258",1980-09-14,1.02,0,0,NA,0,0.255
"259",1980-09-15,0,0,0,NA,0,0
"260",1980-09-16,0,0,0,NA,0,0
"261",1980-09-17,0,0,0,NA,0,0
"262",1980-09-18,0.51,0,0,NA,0,0.1275
"263",1980-09-19,0,0,2,NA,0,0.5
"264",1980-09-20,0,2.7,0,NA,0,0.675
"265",1980-09-21,4.06,0,0,NA,0,1.015
"266",1980-09-22,5.08,0,0,NA,0,1.27
"267",1980-09-23,0,0,0,NA,0,0
"268",1980-09-24,0,0,0,NA,0,0
"269",1980-09-25,0,0,0.1,NA,8.9,2.25
"270",1980-09-26,0,0,0,NA,0.6,0.15
"271",1980-09-27,0,0,0,NA,0,0
"272",1980-09-28,0,0,0,NA,0,0
"273",1980-09-29,0,0,0,NA,0,0
"274",1980-09-30,0,0,11.5,NA,0,2.875
"275",1980-10-01,0,6,2.5,34.3,5.9,9.74
"276",1980-10-02,8.89,3.2,0,7.4,0,3.898
"277",1980-10-03,2.03,0,0,0,0,0.406
"278",1980-10-04,0,0,0,0,0,0
"279",1980-10-05,0,0,0,0,0,0
"280",1980-10-06,0,0,0,0,0,0
"281",1980-10-07,1.02,0,0,0,0,0.204
"282",1980-10-08,0,0,0,0,0,0
"283",1980-10-09,0,0,0,0,0,0
"284",1980-10-10,0,0,0,0,0,0
"285",1980-10-11,NA,0,0,0,0,0
"286",1980-10-12,0,0,0,0,0,0
"287",1980-10-13,0,0,0.8,0,0,0.16
"288",1980-10-14,0,1.7,0,0.7,6.9,1.86
"289",1980-10-15,2.03,0,0,6.1,7.5,3.126
"290",1980-10-16,0,0,0,0.2,0,0.04
"291",1980-10-17,1.02,0,0,0,0,0.204
"292",1980-10-18,0,0,0,0,0,0
"293",1980-10-19,0,0,0,0,0,0
"294",1980-10-20,0,0,5.5,0,0,1.1
"295",1980-10-21,0,3.7,0,21.3,0,5
"296",1980-10-22,5.08,0,0,1.9,0,1.396
"297",1980-10-23,0,0,0,0,0,0
"298",1980-10-24,NA,0,0,0,0,0
"299",1980-10-25,0,0,0,0,0,0
"300",1980-10-26,0,0,0,0,0,0
"301",1980-10-27,0,0,0,0,0,0
"302",1980-10-28,0,0,0,0,0,0
"303",1980-10-29,0,0,0,0,0,0
"304",1980-10-30,0,0,0,0,0,0
"305",1980-10-31,0,0,0,0,0,0
"306",1980-11-01,0,0,0,0,0,0
"307",1980-11-02,0,0,0,0,0,0
"308",1980-11-03,0,0,0,0,3.8,0.76
"309",1980-11-04,NA,0,9,0,0,2.25
"310",1980-11-05,0,8.7,13.5,7.9,0,6.02
"311",1980-11-06,NA,6,0,7.1,1.6,3.675
"312",1980-11-07,1.02,0,0,1.1,5.5,1.524
"313",1980-11-08,3.05,0,0,0,0,0.61
"314",1980-11-09,0,0,0,0,0,0
"315",1980-11-10,0,0,9.5,0,0,1.9
"316",1980-11-11,0,6,2.5,10.6,0,3.82
"317",1980-11-12,NA,6.4,3.5,6.1,1.5,4.375
"318",1980-11-13,3.05,4.8,0,9.2,3.5,4.11
"319",1980-11-14,9.91,0,1,0,0,2.182
"320",1980-11-15,0,0,0,0,0,0
"321",1980-11-16,0,2,13.5,11.3,0,5.36
"322",1980-11-17,1.02,9,18,36.7,9.1,14.764
"323",1980-11-18,4.06,9.9,1.2,35,15.7,13.172
"324",1980-11-19,6.1,2.5,0,35.9,4.4,9.78
"325",1980-11-20,2.03,0,0,0,0,0.406
"326",1980-11-21,0,0,0,0,0,0
"327",1980-11-22,NA,0,0,0,0,0
